"Date","T_start","T_end","Location","Presenter","Topic","Note_URL","Helpers","Passed","Week","sequence","stable_uids","current_timestamp","Event"
"2026-01-13",2026-01-13 10:00:00,2026-01-13 12:00:00,"Hjørnerummet (A401-109)","Zheer","Introduction and planning of format",NA,"-","Previous","03",0,"03d14b28-8ea4-fab9-ceff-22e1a1069809@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:03d14b28-8ea4-fab9-ceff-22e1a1069809@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260113T100000
DTEND:20260113T120000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Introduction and planning of format \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-01-27",2026-01-27 10:00:00,2026-01-27 11:30:00,"Hjørnerummet (A401-109)","Zheer","How to ask for help: The minimal reproducible example and making simulated data","notes/lesson-notes/01-Minimal-Reproducible-Example.html","-","Previous","05",0,"cf2812e6-f07b-6f2a-d381-58dc4e726228@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:cf2812e6-f07b-6f2a-d381-58dc4e726228@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260127T100000
DTEND:20260127T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: How to ask for help: The minimal reproducible example and making simulated data \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-02-18",2026-02-18 10:00:00,2026-02-18 11:30:00,"Hjørnerummet (A401-109)","Zheer","Prevention and diagnosis of errors in R",NA,"-","Today","08",0,"b84f7940-c151-a8b9-28b6-208bbdc69ea2@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:b84f7940-c151-a8b9-28b6-208bbdc69ea2@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260218T100000
DTEND:20260218T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Prevention and diagnosis of errors in R \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-02-24",2026-02-24 10:00:00,2026-02-24 11:30:00,"Hjørnerummet (A401-109)","Zheer","Types of data (object, classes)",NA,"-","Planned","09",0,"f632f3e9-6c4e-8f4c-4951-dc600f92a895@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:f632f3e9-6c4e-8f4c-4951-dc600f92a895@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260224T100000
DTEND:20260224T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Types of data (object, classes) \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-03-10",2026-03-10 10:00:00,2026-03-10 11:30:00,"Hjørnerummet (A401-109)","Zheer","Writing functions instead of copy/paste",NA,"-","Planned","11",0,"89ed8f6f-c857-2fe2-3da2-85ec393dc8a0@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:89ed8f6f-c857-2fe2-3da2-85ec393dc8a0@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260310T100000
DTEND:20260310T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Writing functions instead of copy/paste \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-03-24",2026-03-24 10:00:00,2026-03-24 11:30:00,"Hjørnerummet (A401-109)","Zheer","Loops, recursion, parallelisation",NA,"-","Planned","13",0,"04090f06-a1da-ac9c-1868-17c6a55233d5@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:04090f06-a1da-ac9c-1868-17c6a55233d5@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260324T100000
DTEND:20260324T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Loops, recursion, parallelisation \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-04-07",2026-04-07 10:00:00,2026-04-07 11:30:00,"Hjørnerummet (A401-109)","Zheer","Paradigms: Base R vs. Tidyverse vs. data.table",NA,"-","Planned","15",0,"5b78625a-cc77-955c-c538-68d1258ff958@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:5b78625a-cc77-955c-c538-68d1258ff958@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260407T100000
DTEND:20260407T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Paradigms: Base R vs. Tidyverse vs. data.table \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-04-21",2026-04-21 10:00:00,2026-04-21 11:30:00,"Hjørnerummet (A401-109)","Zheer","More tidyverse",NA,"-","Planned","17",0,"339d3c65-be09-113f-8bcf-84cabe8655a9@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:339d3c65-be09-113f-8bcf-84cabe8655a9@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260421T100000
DTEND:20260421T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: More tidyverse \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-05-05",2026-05-05 10:00:00,2026-05-05 11:30:00,"Hjørnerummet (A401-109)","Zheer","Handling many packages—and cross-package workflows",NA,"-","Planned","19",0,"f476c29c-ed4c-45a1-9506-0932b07f52d5@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:f476c29c-ed4c-45a1-9506-0932b07f52d5@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260505T100000
DTEND:20260505T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Handling many packages—and cross-package workflows \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
"2026-05-19",2026-05-19 10:00:00,2026-05-19 11:30:00,"Hjørnerummet (A401-109)","Zheer","Moving between R and Stata",NA,"-","Planned","21",0,"66895c35-29b0-c9f3-837e-5f7d8562ad5a@r-coding-cafe.zheer.dk","20260207T090000","BEGIN:VEVENT
UID:66895c35-29b0-c9f3-837e-5f7d8562ad5a@r-coding-cafe.zheer.dk
DTSTAMP:20260207T090000
DTSTART:20260519T100000
DTEND:20260519T113000
SEQUENCE:0
STATUS:CONFIRMED
SUMMARY:R Coding Café
URL:https://r-coding-cafe.zheer.dk
DESCRIPTION:Topic: Moving between R and Stata \n\nZoom: \nhttps://us04web.zoom.us/j/73855740803?pwd=pFAlZIhlsysHGiKLk14dUCYUdXXi8R.1 \nMeeting ID: 738 5574 0803\nPasscode: m13GZQ
LOCATION:Hjørnerummet (A401-109)
END:VEVENT"
